This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	Translation MALTESE	Initial of translator	Word check. <168	mt
alt-c64		Mais il n’y a que toi de disponible. Dis moi, faut quand même être sacrément attardé pour jouer encore sur un C64 de nos jours ??!	But you're the only one around.\n\nTell me, ain't you some kinda\nsad imbecile to still be\nplaying on a c64?	CK RF CT AH	109	Pero resulta que no hay nadie más disponible. ¿Y acaso no es cierto que solo los retrasados siguen jugando en un C64 hoy en día?	HAM miguelsky	128	Purtroppo, però, sei l'unica opzione disponibile. Dimmi un po', non ti senti un ritardato a giocare ancora con un C64 al giorno d'oggi?!	Mr. DVG Parsec	136	Τι να κανω που μόνο εσύ είσαι διαθέσιμος; Μιλάμε, πρέπει να είσαι τελείως καθυστερημένος για να χρησιμοποιείς C64 τη σήμερον ημέρα!	msg/SK	131	Leider stehst nur Du zur Verfügung. Sag mal, was für eine armselige Wurst spielt heutzutage eigentlich noch auf dem C64?!	Phoenix Yth Dissident	121	No ale cóż, tylko Ty jesteś pod ręką... Powiedz mi, trzeba być jednak nieźle opóźnionym by wciąż grać w gry na COMMODORE 64 w tych czasach...	PS2 SP	141	Iżda biss int disponibbli. Tell me, inti għad iridu jiġu pretty ritardata li play anki fuq C64 illum ??!		104	Iżda hemm biss inti disponibbli. Għidli, xorta jeħtieġ li jkun kkritikat attribwit biex jerġa 'jilagħbu fuq C64 illum?!
alt-speccy		Mais il n’y a que toi de disponible. Dis moi, faut quand même être sacrément attardé pour jouer encore sur un ZX de nos jours ??!	But you're the only one around.\n\nTell me, ain't you some kinda\nsad imbecile to still be\nplaying on a SPECCY?	CK RF CT AH	112	Pero resulta que no hay nadie más disponible. ¿Y acaso no es cierto que solo los retrasados siguen jugando en un ZX hoy en día?	HAM miguelsky	127	Purtroppo, però, sei l'unica opzione disponibile. Dimmi un po', non ti senti un ritardato a giocare ancora con un ZX al giorno d'oggi?!	Mr. DVG Parsec	135	Τι να κανω που μόνο εσύ είσαι διαθέσιμος; Μιλάμε, πρέπει να είσαι τελείως καθυστερημένος για να χρησιμοποιείς ZX τη σήμερον ημέρα!	msg/SK	130	Leider stehst nur Du zur Verfügung. Sag mal, was für eine armselige Wurst spielt heutzutage eigentlich noch auf dem Spectrum?!	Phoenix Yth Dissident	126	No ale cóż, tylko Ty jesteś pod ręką... Powiedz mi, trzeba być jednak nieźle opóźnionym by wciąż grać w gry na ZX SPECTRUM w tych czasach...	PS2 SP	140	Iżda biss int disponibbli. Tell me, inti għad iridu jiġu pretty ritardata li play anki fuq ZX illum ??!		103	Iżda hemm biss inti disponibbli. Għidli, xorta jkollok bżonn li tiġi kkritikata mill-ġdid biex terġa 'tilgħab fuq ZX illum?
		Tu manques de tendresse et tu te réfugies dans les souvenirs de ton enfance ? bla bla bla bla... Mon bébé, va falloir que tu ASSURES sur ce coup là !	Do you lack affection and take\nshelter in your childish memories? Boo hoo.\n Mama's boy, you'll need to be\n on TOP FORM to handle this!	CK RF CT	137	¿Te falta cariño y te refugias en los recuerdos de tu infancia? Bla, bla, bla, bla... ¡Tendrás que ASEGURARTE de poder manejar esto, colega!	HAM miguelsky	140	Hai bisogno d'affetto e ti rifugi nei ricordi d'infanzia? Bla bla bla... Piccino di mamma, dovrai darti una svegliata se vuoi sperare di farcela.	Mr. DVG Parsec	145	Δεν σε χάιδευε αρκετά η μαμά και τώρα αναζητάς καταφύγιο στις παιδικές σου μνήμες; Άσε τα λόγια, βουτυρομπεμπέ, σε θέλω ΑΡΧΗΓΟ, για να τα καταφέρουμε!	msg/SK	150	Och, bekommst Du zu wenig Liebe, dass Du in die Erinnerung deiner Kindheit flüchten musst? Ey, kleines Baby, hier darfst Du Dir keine Fehler leisten!	Phoenix Yth Dissident	149	Brak Ci czułości i chronisz się we wspomnieniach z dzieciństwa? No cóż, bywa... Wiesz, tutaj będziesz musiał się wspiąć na wyżyny formy, by dać sobię w ogóle radę!	PS2 SP	163	Tinsa tenerezza u tieħu kenn fil-memorji tat-tfulija tiegħek? blah blah blah blah ... My baby, int gonna jkollhom assigurati fuq dan wieħed!		140	Loading...
		Je vais t’expliquer comment tu vas pouvoir m’aider. Je vais y aller doucement pour être sur que ton petit cerveau comprenne bien tout.	I'm going to explain how you can help me. I'll go slowly to make\nsure that little brain of yours\nunderstands everything.	CK RF	122	Voy a explicarte cómo puedes ayudarme. Iré despacito para asegurarme de que tu cerebrito lo pilla.	HAM miguelsky	98	Ora ti spiego come potrai essermi d'aiuto. Parlerò lentamente per assicurarmi che il tuo piccolo cervello recepisca tutto quanto.	Mr. DVG Parsec	129	Θα σου εξηγήσω πώς θα με βοηθήσεις. Θα τα πω αργά, να βεβαιωθώ οτι τα καταλαβες όλα, με το αϊκιού ραδικιού που κουβαλάς.	msg/SK	120	Ich werde Dir erklären, wie Du mir helfen kannst, und ich werde es langsam angehen, damit Dein kleines Hirn alles versteht.	Phoenix Dissident	123	Ok, wytłumaczę Ci tutaj w jaki sposób będziesz w stanie mi pomóc.Zrobię to na tyle powoli, aby upew--nić się, że nawet Twój mały móż--dżek jakoś to wszystko pojmie.	PS2 SP	164	I ser jispjegaw kif inti se tkun kapaċi tgħin lili. I ser imorru bil-mod li jiġi żgurat li l-moħħ tiegħek ftit jifhem kollox.		125	I se jispjegaw lilek kif inti se tkun kapaċi tgħinni. Jien se nimxi bil-mod biex inkun ċert li l-moħħ żgħir tiegħek jifhem kollox.
		Ce qui m'emmerde, c'est que je vais risquer ma vie et que toi tu vas pas bouger ton gros cul de ta chaise. Ca pue du cul cette histoire.	What annoys me most is that\nI'll be risking my life and\nthat you're not even gonna move\nyour fat ass outa your chair.\nIt stinks!	CK RF	132	Lo que me más me jode es que voy a arriesgar mi vida mientras que tú no tendrás que mover tu grasiento culo de esa silla. ¡Menuda mierda!	HAM miguelsky	137	Quello che mi fa incazzare è che io rischierò la mia vita mentre tu non muoverai di un solo millimetro quel culone dalla sedia. Che bell'affare!	Mr. DVG Parsec	144	Πιο πολύ μου τη σπάει οτι εγώ θα παίζω την ζωή μου κορώνα-γράμμα--τα, ενώ εσύ θα θρονιάζεις τη μπουχεσοκωλάρα σου στην καρέκλα. Το στανιό μου μέσα!	msg/SK	147	Was mich ja ärgert ist, dass ich mein Leben riskiere und Du Deinen fetten Arsch nicht aus deinem Stuhl bewegst.	Phoenix Yth Dissident	111	To co najbardziej mnie wkurza to to, że gdy ja będę ryzykować życie, Ty nawet nie podniesiesz swojego tłustego tyłka z krzesła. Co za życie!	PS2 SP	140	Dak annoys lili huwa li jien se riskju tal-ħajja tiegħi u li inti huma inti tmur timxi ħmar xaħam tiegħek ta 'siġġu tiegħek. Hija stinks istorja ħmar.		150	Dak li jeħelni hu li se nirriskja ħajti u ma tiċċaqlaqx il-ħmar il-kbir tiegħek tas-siġġu tiegħek. Ca Pue tal-ħmar din l-istorja.
		Mais bon pas le choix, alors go. Bon alors, tu vas voir un curseur sur l’image de jeu. Ce curseur, tu peux le déplacer avec DIRECTIONS.	But hey-ho I've no choice,\nso off we go. Well then, later\nyou'll see a cursor on the screen.\nYou'll be able to move it\n with the DIRECTIONS.	CK RF	144	Pero no tengo elección, así que... ¡Vamos allá! Verás un cursor en la pantalla. Puedes moverlo con las DIRECCIONES.	HAM miguelsky	115	Ma a quanto pare non ho altra scelta, quindi diamoci da fare. Allora, vedrai un cursore sullo schermo. Puoi spostarlo con le DIREZIONI.	Mr. DVG Parsec	135	Δεν παίζει, όμως, άλλη επιλογή, οπότε φύγαμε. Λοιπόν, θα βλέπεις έναν κέρσορα στην οθόνη. Μπορείς να τον κατευθύνεις με τα ΒΕΛΑΚΙΑ.	msg/SK	131	Aber hey, wir haben keine Wahl, also los geht's. Gut, Du wirst einen Cursor auf dem Spielbild sehen. Du kannst ihn mit den Pfeiltasten bewegen.	Phoenix Yth Dissident	143	Ale cóż, skoro nie mam innego wyboru, to wyruszamy! W kolejnych scenach zobaczysz na ekranie kursor, którym będziesz mógł poruszać od--powiednimi klawiszami KIERUNKÓW.	PS2 SP	167	Imma ħej ebda għażla, imbagħad mur. Well imbagħad, tkun taf tara cursor fuq il-logħba immaġini. Dan slider, inti tista 'timxi bl DIRETTIVI.		139	Imma mhux l-għażla, imbagħad mur. Ukoll, int ser tara cursor fuq l-immaġni logħba. Dan cursor, inti tista 'timxi ma' direzzjonijiet.
	Explanations of the colors for the cursor.	Quand le curseur est sur une zone d’action, il devient vert. Tu connais tes couleurs hein ? VERT bien, ROUGE pas bien. Tu devrais y arriver...	When the cursor is over an\n area of action, it turns green.\n You do know your colors right?\n GREEN is good, RED is wrong.\nYou should get it...	CK RF	146	Cuando el cursor está sobre un área de acción, se pone en verde. Sabes los colores, ¿no? VERDE es bueno, ROJO es malo. Estoy seguro de que lo pillas...	HAM miguelsky	151	Se il cursore è su una zona di azione, diventa verde. Conosci i colori, vero? VERDE è buono, ROSSO è cattivo. Puoi farcela persino tu.	Mr. DVG Parsec	134	Όταν ο κέρσορας βρίσκεται σε πε--ριοχή που επιτρέπει αλληλεπίδραση, θα γίνεται πράσινος. Ξέρεις από χρώματα, ε; Το ΠΡΑΣΙΝΟ είναι καλό, το ΚΟΚΚΙΝΟ είναι κακό. Μπήκες;	msg/SK	165	Wenn der Cursor auf einem Aktionsfeld ist, wird er grün. Du kennst Deine Farben? GRUEN gut, ROT nicht gut. Das solltest selbst Du kapieren...	Phoenix Yth Dissident	141	Gdy kursor znajdzie się nad obszarem akcji - zmieni kolor na zielony. Rozpoznajesz kolory, praw--da? ZIELONY dobrze, CZERWONY nie dobrze. Dasz sobie radę, prawda?	PS2 SP	162	Meta l-cursor huwa fuq qasam ta 'azzjoni, jirriżulta aħdar. Inti taf kuluri tiegħek dritt? tajba GREEN, RED ħażin. Inti għandek tikseb hemm ...		143	Meta l-cursor ikun fuq żona ta 'azzjoni, dawriet aħdar. Taf il-kuluri tiegħek huh? Aħdar Ukoll, aħmar mhux tajjeb. Għandek tasal hemm ...
		Sur l'endroit choisi, fais ACTION pour agir. Il a compris le gogol ? Allez on y va, ACTION pour commencer !	On the chosen location,\npress ACTION to act.\nYou do understand don't you?\nCome on let's go,\nACTION to begin!	CK RF	112	Cuando decidas, pulsa ACCIÓN para actuar. ¿Lo ha pillado el tontico? ¡Adelante, ACCIÓN para comenzar!	HAM miguelsky	101	Nella posizione scelta, premi AZIONE per agire. Hai capito, vero? Bene, allora forza: AZIONE per iniziare!	Mr. DVG Parsec	106	Στο επιλεγμένο σημείο, πατάς ACTION για να δράσεις. Όλα κατανοητά; Άντε, φύγαμε, πάτα ACTION για να ξεκινήσεις!	msg/SK	111	Drücke an der ausgewählten Stelle AKTION, um etwas zu tun. Das verstehst Du doch, oder? Jetzt lass uns loslegen, drücke AKTION um zu beginnen!	Phoenix Yth Dissident	142	Po przesunięciu kursora w wyb--rane miejsce naciśnij przycisk AK--CJI (Spacja/Fire) by zadziałać. Zro--zumiał czy nie? No to dawaj, ru--szamy! Przycisk AKCJI by zacząć!	PS= SP	168	Fuq il-post magħżul, do AZZJONI għall-att. Huwa mifhum il Gogol? Come on go ejja, AZZJONI tibda!		96	Fuq il-post magħżul, għamel azzjoni biex taġixxi. Huwa fehem il-gogol? Ejja, azzjoni biex tibda!
end		Tu peux jouer au clavier ou au joystick. ACTION et DIRECTIONS seront espace et flèches au clavier, et le bouton feu et les directions pour le joystick.	You can play using the\nkeyboard or joystick. ACTION and\nDIRECTIONS are space & arrows on\nthe keyboard, or use fire &\ndirections on the joystick.	CK RF	148	Puedes jugar con teclado o joystick. Con teclado: ACCIÓN y DIRECCIONES son la barra espaciadora y los cursores. Con joystick: El botón y el palo.	HAM miguelsky	145	Puoi giocare con tastiera o joystick. Sulla tastiera, AZIONE e DIREZIONI sono la barra spaziatrice e le frecce cursore. Con joystick: il tasto di fuoco e la levetta.	Mr. DVG Parsec	165	Μπορείς να παίξεις με πληκτρο--λόγιο ή με joystick. Το ACTION και οι ΚΑΤΕΥΘΥΝΣΕΙΣ αντιστοιχούν σε Spa--ce και βελάκια ή στο Fire και τις κατευθύνσεις του Joystick. 	msg/SK	164	Du kannst mit der Tastatur oder dem Joystick spielen. AKTION sind Leertaste oder Feuerknopf, RICHTUNGEN die Pfeiltasten oder natürlich der Joystick.	Phoenix Yth Dissident	148	W grę można grać klawiaturą lub joystickiem. Przyciskami AKCJI i KIERUNKÓW są SPACJA i STRZAŁKI na klawiaturze albo przycisk Fire i wychylenia drążka joysticka.	PS2 SP	160	Inti tista 'tilgħab l-keyboard jew joystick. AZZJONI u DIRETTIVI rieda ispazju u l-vleġeġ fuq il-keyboard, u l-buttuna tan-nar, u direzzjonijiet għall-joystick.		160	Tista 'tilgħab it-tastiera jew il-joystick. L-azzjoni u d-direzzjonijiet se jkunu spazju u vleġeġ fuq it-tastiera, u l-buttuna tan-nar u d-direzzjonijiet għall-joystick.
alt-speccy		Tu peux jouer au clavier ou au joystick. DIRECTIONS et ACTION seront QW OP et espace, et le bouton feu et les directions pour le joystick.	you can play using the keyboard\nor joystick. DIRECTIONS and ACTION are QA OP & Space or cursor keys\non the keyboard, or directions &\nfire on the joystick.			puedes jugar con teclado o el joystick. DIRECCIONES y ACCIÓN son QA OP & espacio o teclas de cursor en el teclado, o direcciones y fuego en el joystick.	robcfg 		puoi giocare utilizzando la tastiera o il joystick. DIREZIONI e AZIONE sono QA OP e Spazio, oppure i tasti cursore sulla tastiera e il pulsante di fuoco sul joystick.	Mr DVG		Ο έλεγχος γίνεται με πληκτρολόγιο ή με joystick. QAOP ή βελάκια και space bar στο πληκτρολόγιο ή κατευθύνσεις και πυρ στο joystick.	msg		Du kannst mit der Tastatur oder dem Joystick spielen. AKTION sind Leertaste oder Feuerknopf, RICHTUNGEN die Pfeiltasten, QAOP oder natürlich der Joystick.	Yth	154	W grę można grać klawiaturą lub joystickiem. Przyciskami AKCJI i KIERUNKÓW są Spacja i klawisze QA OP lub strzałki, albo przycisk Fire i wychylenia drążka joysticka.	PS SP		Inti tista 'tilgħab l-keyboard jew joystick. DIRETTIVI QW u OP se AZZJONI u l-ispazju, u l-buttuna tan-nar, u direzzjonijiet għall-joystick.		140	Tista 'tilgħab it-tastiera jew il-joystick. Direzzjonijiet u azzjoni se jkunu QW OP u l-ispazju, u l-buttuna tan-nar u direzzjonijiet għall-joystick.
Level02		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Test oriġinali Franċiż. Kliem ta 'uppercases jidhru fl-isfar fil-logħba, u għalhekk żommhom uppercase. 
intro	this is tutorial, learning player to user the controls.	Bon, on va vérifier que tu aies compris. Déplace le curseur avec DIRECTIONS jusqu'à la zone marquée 1 et appuie sur ACTION pour valider.	Well, we're going to check\nthat you have understood.\n Move the cursor with DIRECTIONS\n to the area marked 1.\n Then press ACTION to select.	CK RF	142	Bueno, comprobemos si lo has entendido. Mueve el cursor a la zona marcada con un 1. Después pulsa ACCIÓN para validar.	HAM miguelsky	118	Bene, vediamo se hai capito tutto. Sposta il cursore con le DIREZIONI fino all'area contrassegnata con 1 e premi AZIONE per convalidare.	Mr. DVG Parsec	136	Για να δούμε, τώρα, αν κατάλαβες. Μετακίνησε τον κέρσορα με τις ΚΑΤΕΥΘΥΝΣΕΙΣ στην περιοχή 1. Έπειτα, πάτησε το ACTION για επικύρωση.	msg/SK	132	Okay, wir testen, ob Du das verstanden hast: Bewege den Cursor mit den RICHTUNGEN in den Bereich mit der 1 und drücke dann AKTION.	Phoenix Yth Dissident	130	No dobra, czas sprawdzić co zrozumiałeś. Przesuń kursor KIERUNKAMI do strefy oznaczonej numerem 1 i naciśnij klawisz AKCJI by wybrać wskazany obszar.	PS2 SP	149	Ukoll, aħna ser jiċċekkja li inti għandek mifhum. Jiċċaqlaq il-cursor mad-direzzjonijiet għall-qasam mmarkata 1 u pressi AZZJONI biex jikkonferma.		146	Ukoll, aħna nivverifikaw li fhimt. Ċaqlaq il-cursor b'direzzjonijiet għaż-żona mmarkata 1 u agħfas azzjoni biex tivvalida.
	"susucre" is name of sugar when we speak to a dog.	BRAVO. Je sais pas trop ce qu’on fait dans ces cas là, on donne un SUSUCRE ? Sur une image, tu peux avoir jusqu'à 9 zones maximum.	WELL DONE. I'm not sure\n what we do in these cases,\n do we hand out prizes? \nOn an image, you can\n have up to 9 zones.	CK RF	122	¡BRAVO! No estoy seguro de que es lo que se hace en estos casos. ¿Darte un CARAMELO? Sobre una imagen, puedes tener hasta nueve zonas.	HAM miguelsky	134	BRAVO! Non so bene cosa si faccia in questi casi. Vuoi uno zuccherino? Comunque, su un'immagine puoi avere un massimo di nove zone.	Mr. DVG Parsec	131	ΜΠΡΑΒΟ! Δεν είμαι σίγουρος τι κάνουμε σε αυτές τις περιπτώσεις, να σου κάνω πατπατ το κεφαλάκι; Στην κάθε εικόνα, μπορούμε να έχουμε ως και 9 περιοχές.	msg/SK	151	FEIN GEMACHT! Du erwartest jetzt aber kein Leckerli, oder? Auf einem Bild können maximal 9 solcher Zonen sein.	Phoenix Yth Dissident	110	DOBRA ROBOTA, ale nie spodzie--wałeś się chyba, że w takich przypadkach rozdajemy medale czy batoniki? Nic z tego. Zapa--miętaj: na obrazie może być do 9 stref.	PS2 SP	160	PROSET. Jien ċert dak li nagħmlu f'dawn il-każijiet, aħna nagħtu SUSUCRE? Fuq xbieha, inti jista 'jkollhom sa 9 żoni.		117	PROSET. Ma nafx dak li nagħmlu f'dawn il-każijiet, nagħtu SUSUCCRE? Fuq immaġini, jista 'jkollok sa 9 żoni massimi.
		Tu vas devoir trouver l’ordre logique pour que je puisse progresser, zone après zone. Chaque erreur me mènera à la MORT. Ça craint grave ça.	You'll have to find the\n logical order so I can \nprogress, area after area. \nEvery mistake will lead me\n to DEATH. It sucks!	CK RF	128	Zona tras zona, deberás hallar el orden lógico para que yo pueda progresar. Cualquier error me conducirá a la MUERTE. Esto apesta seriamente.	HAM miguelsky	141	Zona dopo zona, devi trovare l'ordine logico affinché io possa avanzare. Ogni tuo errore mi porterà alla MORTE... il che è un vero schifo.	Mr. DVG Parsec	138	Θα πρέπει να βρεις τη λογική σειρά, ούτως ώστε να μπορώ να προχωρήσω στην κάθε περιοχή. Κάθε λάθος θα οδηγεί σε ΘΑΝΑΤΟ. Το στανιό μου μέσα.	msg/SK	139	Du wirst die logische Reihenfolge finden müssen, damit ich vorwärts kommen kann, Zone für Zone. Jeder Fehler wird mich KILLEN. Scheiß Aussichten!	Phoenix Yth Dissident	145	Twoim zadaniem będzię znaleźć LOGICZNĄ KOLEJNOŚĆ abym ja mógł iść do przodu, obszar po obszarze. Każda Twoja pomyłka doprowadzi mnie do śmierci. Makabra!	PS2 SP	153	Int ser ikollok biex isibu l-ordni loġiku għalija li jiċċaqalqu, żona wara qasam. Kull żball se jwassal lili biex mewt. Hija tibża 'li serja.		141	Loading...
		A chaque mort, on recommencera tout. Donc sois concentré, sinon ça va durer des lustres cette merde. Allez, maintenant va actionner le CAILLOU ma couille.	After each death, we'll restart\n at the beginning. So concentrate! Otherwise this shit will last for \nfucking ever! Come on, now\n action the BOULDER buddy.	CK RF CT	158	Tras cada muerte tendremos que volver a empezar. Por tanto, concéntrate o si no esta mierda nos va a entretener durante años. Vamos, ahora acciona la PIEDRA, colega.	HAM miguelsky	165	Ad ogni morte, ricominceremo da capo. Quindi concentrati, altrimenti staremo qui per secoli! Dai, ora devi azionare il SASSO, amico mio.	Mr. DVG Parsec	136	Με κάθε θάνατο, θα ξεκινάμε πάλι από την αρχή. Για αυτό συγκεντρώσου, αλλιώς θα μας πάρει αιώνες. Άντε, πατα ACTION στην πέτρα, φιλαράκο.	msg/SK	137	Nach jedem Tod werden wir neu starten müssen. Also konzentriere Dich, sonst dauert der Quatsch hier ewig! Na los, drücke auf dem Stein AKTION!	Phoenix Dissident Yth	142	Po każdej śmierci trzeba będzie zaczynać od nowa. Skoncentruj się więc, bo inaczej ten caly dym będzie trwał pieprzone wieki! No to ruszaj i do dzieła koleś!	PS2 SP	157	Ma 'kull mewt, aħna kollha jibdew mill-ġdid. Allura ikunu kkonċentrati, inkella se jdum għal etajiet dan shit. Jaqgħu fuq, issa se topera l-pebble testicle tiegħi.		163	F'kull mewt, aħna nibdew kollha. Allura jkun ikkonċentrat, inkella se jdum linef dan shit. Ejja, issa se tħaddem il-ballun tiegħi.
	Einstein refer to Albert Einstein, very clever guy.	OK tu as réussi Einstein. Je sens que ça ne vas pas être une partie de plaisir avec toi à mes côtés. Allez, on continue. Parfois je serai face à des pièges...	OK, you got it Einstein.\n I feel it's not going to be a\n picnic with you by my side. \nCome on, continue. Sometimes I'll have to deal with traps...	CK RF	149	Vale, Einstein, lo lograste. Aunque creo que esto no va a ser muy divertido teniéndote a mi lado. Sigamos. A veces me enfrentaré a trampas...	HAM miguelsky robcfg	141	OK Einstein, ce l'hai fatta. Sento che non sarà una passeggiata con te al mio fianco, purtroppo. Andiamo avanti. A volte dovrò affrontare delle trappole...	Mr. DVG Parsec	155	Οκ, Αϊνστάιν, το χουμε. Δεν τη βλέπω την υπόθεση να είναι περίπατος, με σένα στο πλευρό μου. Κάποια στιγμή, θα χρειαστεί να αντιμετωπίσω παγίδες...	msg/SK	147	Okay, du hast es geschafft, Einstein. Ich habe das Gefühl, das wird kein Spaß mit dir an meiner Seite. Manchmal werde ich mit Fallen konfrontiert...	Phoenix Yth Dissident	148	OK, udało ci się! Coś jednak czuję, że z Tobą to nie będzie bułka z masłem. No dawaj, idziemy dalej. Wiedz też, że czasami stanę twarzą w twarz z pułapkami...	PS2 SP	158	OK inti ġestiti Einstein. Inħoss mhuwiex ser tkun cakewalk miegħek ma 'ġenb tiegħi. Come on, tkompli. Kultant I ser jittrattaw nases ...		136	Ok irnexxielek Einstein. Inħoss li mhux se jkun parti mill-gost miegħek min-naħa tiegħi. Ejja, inkomplu. Kultant I se jkunu jiffaċċjaw nases ...
		Je devrai les éviter avec rapidité. De ton côté tu auras une séquence de DIRECTIONS qui va apparaître et tu devras la réussir pour que j'évite les pièges.	I will need to\n avoid them quickly.\n On your side you'll have a\n DIRECTIONS sequence\n to execute.	CK RF	101	Tendré que esquivarlas rápidamente. Por tu parte tendrás que realizar con éxito una secuencia de DIRECCIONES.	HAM miguelsky	109	Dovrò evitarle rapidamente. Si attiverà una sequenza di DIREZIONI che dovrai eseguire correttamente per farmele evitare!	Mr. DVG Parsec	120	Θα χρειαστεί να τις αποφύγω σβέλτα. Δίπλα σου θα έχεις μια ακολουθία από ΚΑΤΕΥΘΥΝΣΕΙΣ, που θα πρέπει να εκτελέσεις.	msg/SK	115	Ich muss schnell sein, um ihnen auszuweichen. Du wirst eine Sequenz von RICHTUNGEN bekommen, die Du dafür befolgen musst.	Phoenix Yth Dissident	121	Będę musiał ich unikać. Aby tak było, Ty musisz szybko i bezbłęd--nie wykonać sekwencję akcji KIERUN--KÓW, które będą wyświetlane. W ten sposób pokonam pułapki.	PS2 SP	160	I se tevita malajr. Fuq in-naħa tiegħek għandek sekwenza DIRETTIVI li se jidher u ser ikollok l-suċċess li jien jevitaw in-nases.		129	Loading...
		Si tu foires, je meurs. Voyons voir si tu as compris. Va actionner la partie qui ressemble à une FLECHE et prépare-toi à faire la SEQUENCE rythmée.	If you it mess up, I die.\n Let's see if you understand all\n this so far. Select the part that\n looks like an ARROW and get ready to do the rhythmic SEQUENCE.	CK RF	160	Si te equivocas, muero. Veamos si lo entiendes. Selecciona la parte que parece una FLECHA y preparate para realizar la SECUENCIA rítmica.	HAM miguelsky	137	Se ti incasini, io muoio! Vediamo se hai capito. Seleziona la parte che sembra una FRECCIA e preparati ad eseguire la SEQUENZA ritmata.	Mr. DVG Parsec	135	Αν τα θαλασσώσεις, πέθανα. Για να δω αν κατάλαβες. Διάλεξε το σημείο που μοιάζει με ΒΕΛΟΣ και ετοιμάσου για τη ρυθμική ακολουθία κατευθύνσεων..	msg/SK	143	Vermasselst Du es, sterbe ich. Mal sehen, ob Du es kapiert hast. Wähle den Teil, der wie ein PFEIL aussieht, und mach Dich für die rhythmische SEQUENZ bereit.	Phoenix Yth Dissident	158	Ale jeśli coś spieprzysz, ja umrę. Zobaczymy, czy zrozumiałeś o co chodzi. Wybierz obszar wyglą--dający jak strzałka i przygo--tuj się na sekwencję rytmiczną.	PS2 SP	158	Jekk inti mess up, immut. Ejja ara jekk inti mifhuma. Se topera l-parti li jistenna bħal BOOM u mħejija biex jagħmlu l-SEKWENZA ritmika.		136	Jekk inti fieri, immut. Ejja naraw jekk tifhimx. Mur jopera l-parti li tidher qisha fleche u tipprepara biex tagħmel is-sekwenza tittaqqab.
	to check.	Après les deux icônes de départ,\n\nFAIS LA SEQUENCE AVEC LES DIRECTIONS.	After the warning icon, press\n ACTION to start the sequence.\nFOLLOW THE SEQUENCE\n WITH THE DIRECTIONS.	CK RF	105	Tras los dos iconos iniciales,\n\nSIGUE LA SECUENCIA CON LAS DIRECCIONES.	miguelsky robcfg trocoloco	73	Dopo le due icone di partenza,\n\nEFFETTUA LA SEQUENZA CON LE DIREZIONI.	Mr. DVG Parsec	72	Μετά τα δύο αρχικά εικονίδια,\n\nΑΚΟΛΟΥΘΗΣΕ ΤΗΝ ΑΚΟΛΟΥΘΙΑ ΚΑΤΕΥΘΥΝΣΕΩΝ.	msg/SK	71	Es erscheinen zwei Startsymbole, dann\nFOLGE DER SEQUENZ MIT DEN RICHTUNGEN.	Phoenix Yth Dissident	76	Cholera, spieprzyłeś! Czuję, że spędzimy tak całe wieki! Wciskaj przycisk AKCJI i spróbuj jeszcze raz. Skoncentruj się dobrze mój pajacyku! Ruchy, ruchy!	PS2 SP	153	Wara ż-żewġ ikoni jibdew \ n \ NFAIS SEKWENZA MA DIRETTIVI.		59	Wara ż-żewġ ikoni tal-bidu, is-sekwenza bid-direzzjonijiet.
